date;brand_id;phrase_id;shows
2021-06-01;0;0;576
2021-06-01;0;1;90
2021-06-01;0;2;55
2021-06-01;0;3;144
2021-06-01;0;4;8
2021-06-01;0;5;66
2021-06-01;0;6;3
2021-06-01;0;7;8115
2021-06-01;0;8;1940
2021-06-01;0;9;526
2021-06-01;0;10;67
2021-06-01;1;11;1137
2021-06-01;1;12;98
2021-06-01;1;13;101
2021-06-01;1;14;196
2021-06-01;1;15;882
2021-06-01;1;16;87
2021-06-01;1;17;5078
2021-06-01;1;18;20790
2021-06-01;1;19;2003
2021-06-01;1;20;124
2021-06-01;1;21;1923
2021-06-01;1;22;222
2021-06-02;0;0;580
2021-06-02;0;1;83
2021-06-02;0;2;52
2021-06-02;0;3;147
2021-06-02;0;4;8
2021-06-02;0;5;66
2021-06-02;0;6;4
2021-06-02;0;7;8092
2021-06-02;0;8;1929
2021-06-02;0;9;509
2021-06-02;0;10;63
2021-06-02;1;11;1124
2021-06-02;1;12;93
2021-06-02;1;13;101
2021-06-02;1;14;209
2021-06-02;1;15;896
2021-06-02;1;16;83
2021-06-02;1;17;5096
2021-06-02;1;18;20786
2021-06-02;1;19;2006
2021-06-02;1;20;124
2021-06-02;1;21;1914
2021-06-02;1;22;217
2021-06-03;0;0;585
2021-06-03;0;1;81
2021-06-03;0;2;49
2021-06-03;0;3;146
2021-06-03;0;4;8
2021-06-03;0;5;66
2021-06-03;0;6;4
2021-06-03;0;7;8174
2021-06-03;0;8;1938
2021-06-03;0;9;500
2021-06-03;0;10;64
2021-06-03;1;11;1115
2021-06-03;1;12;91
2021-06-03;1;13;100
2021-06-03;1;14;215
2021-06-03;1;15;887
2021-06-03;1;16;80
2021-06-03;1;17;5138
2021-06-03;1;18;20889
2021-06-03;1;19;2005
2021-06-03;1;20;124
2021-06-03;1;21;1919
2021-06-03;1;22;221
2021-06-04;0;0;611
2021-06-04;0;1;81
2021-06-04;0;2;49
2021-06-04;0;3;149
2021-06-04;0;4;8
2021-06-04;0;5;66
2021-06-04;0;6;4
2021-06-04;0;7;8228
2021-06-04;0;8;1966
2021-06-04;0;9;498
2021-06-04;0;10;65
2021-06-04;1;11;1131
2021-06-04;1;12;92
2021-06-04;1;13;100
2021-06-04;1;14;225
2021-06-04;1;15;914
2021-06-04;1;16;77
2021-06-04;1;17;5189
2021-06-04;1;18;21073
2021-06-04;1;19;2015
2021-06-04;1;20;126
2021-06-04;1;21;1904
2021-06-04;1;22;226
2021-06-05;1;14;234
2021-06-05;1;15;929
2021-06-05;1;16;78
2021-06-05;0;0;648
2021-06-05;0;1;80
2021-06-05;0;2;48
2021-06-05;0;3;153
2021-06-05;0;4;8
2021-06-05;0;5;68
2021-06-05;0;6;3
2021-06-05;1;17;5228
2021-06-05;0;7;8300
2021-06-05;0;8;1980
2021-06-05;0;9;507
2021-06-05;0;10;74
2021-06-05;1;11;1138
2021-06-05;1;12;90
2021-06-05;1;13;101
2021-06-05;1;18;21138
2021-06-05;1;19;2025
2021-06-05;1;20;130
2021-06-05;1;21;1872
2021-06-05;1;22;222
2021-06-06;0;0;674
2021-06-06;0;1;82
2021-06-06;0;2;51
2021-06-06;0;3;161
2021-06-06;0;4;8
2021-06-06;0;5;68
2021-06-06;0;6;3
2021-06-06;0;7;8353
2021-06-06;0;8;1998
2021-06-06;0;9;495
2021-06-06;0;10;81
2021-06-06;1;11;1124
2021-06-06;1;12;79
2021-06-06;1;13;103
2021-06-06;1;14;247
2021-06-06;1;15;929
2021-06-06;1;16;75
2021-06-06;1;17;5264
2021-06-06;1;18;21218
2021-06-06;1;19;1989
2021-06-06;1;20;130
2021-06-06;1;21;1878
2021-06-06;1;22;216
2021-06-07;1;20;123
2021-06-07;1;21;1868
2021-06-07;0;0;711
2021-06-07;0;1;80
2021-06-07;0;2;52
2021-06-07;0;3;167
2021-06-07;0;4;8
2021-06-07;0;5;68
2021-06-07;0;6;3
2021-06-07;0;7;8420
2021-06-07;0;8;2004
2021-06-07;0;9;484
2021-06-07;0;10;81
2021-06-07;1;11;1114
2021-06-07;1;12;77
2021-06-07;1;13;104
2021-06-07;1;14;254
2021-06-07;1;15;929
2021-06-07;1;16;73
2021-06-07;1;17;5240
2021-06-07;1;18;21151
2021-06-07;1;19;1977
2021-06-07;1;22;209
2021-06-08;0;0;750
2021-06-08;0;1;81
2021-06-08;0;2;52
2021-06-08;0;3;171
2021-06-08;0;4;8
2021-06-08;0;5;64
2021-06-08;0;6;3
2021-06-08;0;7;8396
2021-06-08;0;8;1998
2021-06-08;0;9;478
2021-06-08;0;10;82
2021-06-08;1;11;1116
2021-06-08;1;12;75
2021-06-08;1;13;101
2021-06-08;1;14;261
2021-06-08;1;15;929
2021-06-08;1;16;73
2021-06-08;1;17;5216
2021-06-08;1;18;21090
2021-06-08;1;19;1975
2021-06-08;1;20;114
2021-06-08;1;21;1839
2021-06-08;1;22;203
2021-06-09;0;0;768
2021-06-09;0;1;82
2021-06-09;0;2;58
2021-06-09;0;3;171
2021-06-09;0;4;8
2021-06-09;0;5;66
2021-06-09;0;6;3
2021-06-09;0;7;8422
2021-06-09;0;8;1997
2021-06-09;0;9;466
2021-06-09;0;10;82
2021-06-09;1;11;1096
2021-06-09;1;12;71
2021-06-09;1;13;94
2021-06-09;1;14;271
2021-06-09;1;15;927
2021-06-09;1;16;67
2021-06-09;1;17;5194
2021-06-09;1;18;21040
2021-06-09;1;19;1950
2021-06-09;1;20;117
2021-06-09;1;21;1829
2021-06-09;1;22;199
2021-06-10;0;0;790
2021-06-10;0;1;84
2021-06-10;0;2;63
2021-06-10;0;3;166
2021-06-10;0;4;8
2021-06-10;0;5;63
2021-06-10;0;6;3
2021-06-10;1;14;277
2021-06-10;1;15;924
2021-06-10;1;16;63
2021-06-10;1;17;5239
2021-06-10;0;7;8395
2021-06-10;0;8;2012
2021-06-10;0;9;473
2021-06-10;0;10;82
2021-06-10;1;11;1091
2021-06-10;1;12;62
2021-06-10;1;13;88
2021-06-10;1;18;20904
2021-06-10;1;19;1936
2021-06-10;1;20;114
2021-06-10;1;21;1831
2021-06-10;1;22;194
2021-06-11;0;0;820
2021-06-11;0;1;85
2021-06-11;0;2;64
2021-06-11;0;3;170
2021-06-11;0;4;8
2021-06-11;0;5;68
2021-06-11;0;6;3
2021-06-11;0;7;8505
2021-06-11;0;8;2022
2021-06-11;0;9;465
2021-06-11;0;10;83
2021-06-11;1;11;1128
2021-06-11;1;12;62
2021-06-11;1;13;91
2021-06-11;1;14;288
2021-06-11;1;15;962
2021-06-11;1;16;61
2021-06-11;1;17;5296
2021-06-11;1;18;20952
2021-06-11;1;19;1954
2021-06-11;1;20;113
2021-06-11;1;21;1852
2021-06-11;1;22;194
2021-06-12;0;0;852
2021-06-12;0;1;87
2021-06-12;0;2;65
2021-06-12;0;3;171
2021-06-12;0;4;8
2021-06-12;0;5;69
2021-06-12;0;6;3
2021-06-12;0;7;8620
2021-06-12;0;8;2042
2021-06-12;0;9;462
2021-06-12;0;10;83
2021-06-12;1;11;1176
2021-06-12;1;12;63
2021-06-12;1;13;95
2021-06-12;1;14;297
2021-06-12;1;15;992
2021-06-12;1;16;60
2021-06-12;1;17;5321
2021-06-12;1;18;21209
2021-06-12;1;19;1988
2021-06-12;1;20;121
2021-06-12;1;21;1850
2021-06-12;1;22;197
2021-06-13;0;0;900
2021-06-13;0;1;90
2021-06-13;0;2;65
2021-06-13;0;3;168
2021-06-13;0;4;8
2021-06-13;0;5;68
2021-06-13;0;6;3
2021-06-13;0;7;8717
2021-06-13;0;8;2025
2021-06-13;0;9;475
2021-06-13;0;10;84
2021-06-13;1;11;1189
2021-06-13;1;12;63
2021-06-13;1;13;101
2021-06-13;1;14;303
2021-06-13;1;15;992
2021-06-13;1;16;63
2021-06-13;1;17;5319
2021-06-13;1;18;21215
2021-06-13;1;19;1975
2021-06-13;1;20;124
2021-06-13;1;21;1848
2021-06-13;1;22;202
2021-06-14;0;0;948
2021-06-14;0;1;90
2021-06-14;0;2;65
